The matrix is
		[9,12,78,30,2,24,35,97,51,26,80,80,73,2,19,30,7,70,57,19,35,61,28,44,45,70,34,74,89,18,45,96,96,54,91,43,15,73,99,1,12,74,61,71,26,55,85,66,3,66,28,49,6,37,42,24,37,86,24,7,14,72,61,87,55,30,26,80,64,54,55,30,28,14,70,10,49,34,43,44,41,97,38,50,29,87,77,21,8,95,32,36,82,96,72,18,88,23,74,66,
		 81,31,20,49,32,70,83,29,58,47,79,80,64,60,30,48,71,69,29,95,58,59,29,47,57,85,77,78,60,74,84,41,29,82,48,2,47,26,100,33,66,42,55,88,7,54,84,83,89,95,86,73,77,42,83,62,77,29,75,10,28,59,20,94,31,46,68,39,80,86,21,71,55,67,54,57,76,8,40,5,99,25,25,97,90,78,35,33,34,61,38,53,13,18,53,24,9,62,18,52,
		 72,55,98,14,7,40,21,27,71,45,52,86,80,71,23,35,43,10,51,76,75,48,10,93,15,27,45,20,9,34,45,69,97,53,3,90,17,64,56,91,65,87,70,45,63,84,87,68,60,18,19,51,39,37,7,49,80,36,96,35,33,3,92,38,65,76,11,65,53,26,19,84,25,11,27,88,46,48,40,16,87,20,72,7,83,48,4,4,37,46,74,56,60,11,35,13,60,38,57,5,
		 26,58,45,71,83,7,63,88,32,94,75,94,33,39,71,30,72,56,38,11,3,99,28,66,15,92,61,57,56,49,30,95,6,52,93,39,31,22,79,75,38,61,92,1,55,49,54,27,92,48,51,49,76,38,15,85,100,64,46,89,59,37,55,69,5,91,21,63,37,75,43,83,97,51,80,14,53,42,82,12,88,90,19,61,51,87,76,18,96,87,94,34,39,36,18,46,55,24,26,28,
		 32,91,62,68,97,29,59,79,41,98,96,98,26,77,66,17,32,19,46,97,53,38,28,15,70,48,59,82,51,72,79,87,25,67,77,33,3,62,20,42,35,4,43,25,56,29,21,86,100,70,87,87,5,39,57,80,81,60,93,14,43,45,81,10,7,73,17,93,84,97,92,97,31,68,46,49,15,71,12,46,5,74,77,70,75,100,49,66,44,28,6,72,35,56,45,43,36,88,49,74,
		 92,94,90,12,87,97,94,25,30,1,80,54,30,89,47,56,45,94,68,36,27,95,45,58,33,28,44,67,72,66,5,31,88,50,36,15,71,2,45,24,85,58,80,44,30,79,91,75,83,39,28,45,20,59,3,46,41,84,51,65,7,48,27,25,88,69,68,34,49,50,64,96,77,65,55,8,52,43,47,15,68,12,39,12,22,88,48,23,49,10,45,33,91,44,85,50,17,4,81,65,
		 52,72,50,81,53,24,54,87,72,56,18,68,78,42,21,92,49,42,61,5,60,92,93,39,36,43,42,99,68,82,35,94,83,82,47,88,39,90,60,37,73,7,3,86,29,15,89,75,32,91,42,38,3,47,74,39,26,53,24,1,13,91,11,74,77,20,79,76,100,42,78,71,85,6,36,23,56,63,9,98,1,4,71,91,53,21,88,38,41,95,55,76,20,89,23,1,98,52,75,71,
		 3,13,36,23,61,13,41,38,93,50,49,20,100,12,80,60,61,28,81,89,89,49,46,18,95,68,53,59,98,12,25,17,88,53,98,91,13,36,16,12,81,3,70,87,90,41,85,75,23,73,44,85,99,21,78,59,85,29,40,12,65,53,88,84,46,81,97,61,19,28,6,26,58,60,44,58,17,25,18,9,99,89,30,24,37,32,18,81,65,4,43,78,75,56,95,69,98,31,30,68,
		 67,94,15,17,59,36,32,71,14,54,30,15,17,61,85,22,67,83,83,17,3,44,42,12,36,84,76,9,55,84,35,49,67,31,2,20,5,29,83,13,76,51,29,98,47,69,58,11,36,69,33,91,28,23,80,38,88,43,74,35,70,69,100,61,58,98,46,38,63,51,63,31,79,87,93,81,57,54,81,96,19,62,56,90,69,93,12,7,96,100,27,29,50,86,39,35,94,27,72,2,
		 73,42,16,17,64,67,20,69,6,52,91,87,78,23,77,10,12,88,66,49,8,66,34,35,84,94,98,96,50,6,21,13,48,78,16,71,21,43,45,52,91,87,7,82,39,29,36,23,55,27,34,73,28,62,63,77,10,35,93,55,65,71,46,19,40,15,5,71,77,41,5,82,75,53,32,21,94,49,63,76,39,29,10,9,42,52,35,28,22,30,36,31,25,27,19,83,69,57,58,46,
